zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Gaplek,Sitta canadensis,"Nuthatch, red-breasted",Audi,Female,1970-10-14,97,true
‘Attīl,Tenrec ecaudatus,"Tenrec, tailless",Rawley,Genderfluid,1971-03-13,48,false
Ujar,Lepus townsendii,White-tailed jackrabbit,Will,Male,2006-01-16,60,true
Youwei,Bucorvus leadbeateri,Leadbeateri's ground hornbill,Rosetta,Female,1981-03-30,21,true
Chelbasskaya,Hystrix cristata,"Porcupine, african",Kylie,Male,1970-11-29,14,true
Jatiklampok,Paroaria gularis,"Cardinal, red-capped",Jennica,Female,1992-07-11,55,false
La Ceja,Ceratotherium simum,"Rhinoceros, white",Titos,Male,2008-02-09,71,true
Zepita,Marmota flaviventris,"Marmot, yellow-bellied",Herculie,Male,2010-11-26,80,false
Kuangshan,Zenaida galapagoensis,Galapagos dove,Marni,Female,2007-09-27,45,true
Kashima-shi,Corvus albicollis,"Raven, white-necked",Cthrine,Female,2009-07-15,78,true
Shabqadar,Alcelaphus buselaphus cokii,Coke's hartebeest,Eberhard,Male,2005-12-04,31,false
Axili,Panthera pardus,Indian leopard,Amery,Male,1985-02-18,22,true
Lugar Novo,Ardea golieth,Goliath heron,Cherrita,Female,2020-08-03,25,false
Datar,Phalacrocorax brasilianus,Neotropic cormorant,York,Polygender,1996-02-08,56,false
Krzeszów,Antidorcas marsupialis,Springbok,Carey,Male,1978-04-27,49,true
El Tablón,Corvus brachyrhynchos,American crow,Norbie,Male,2019-08-25,44,true
Katsuyama,Haliaetus vocifer,African fish eagle,Myrah,Female,1988-10-31,86,false
Mekarsari,Gabianus pacificus,Pacific gull,Geoffrey,Male,1983-10-08,47,false
Olhos de Água,Chauna torquata,"Screamer, crested",Derward,Male,2011-08-13,65,false
Ōdate,Spermophilus tridecemlineatus,"Squirrel, thirteen-lined",Domenic,Male,1989-11-08,6,true
Jardim do Seridó,Procyon cancrivorus,"Raccoon, crab-eating",Rory,Female,1981-08-11,62,true
Živinice,Felis wiedi or Leopardus weidi,"Cat, long-tailed spotted",Linette,Female,1976-05-13,35,false
Miguel Aleman,Oxybelis fulgidus,Green vine snake,Daryn,Female,2012-02-16,48,true
Pasrukrajan Satu,Neophron percnopterus,"Vulture, egyptian",Eleni,Female,1997-09-23,85,false
Pananaw,Pseudocheirus peregrinus,Ring-tailed possum,Daryle,Male,2008-11-02,94,true
Albert Town,Anser anser,Greylag goose,Elva,Female,1975-04-27,98,false
Lancai,Lasiodora parahybana,"Tarantula, salmon pink bird eater",Adler,Male,1979-01-25,69,false
Pacet,Antidorcas marsupialis,Springbok,Elizabeth,Female,1971-01-16,66,false
Duyên Hải,Alouatta seniculus,"Monkey, red howler",Eddie,Male,1993-11-22,89,true
Santulhão,Acridotheres tristis,Common mynah,Finn,Non-binary,1977-11-27,91,true
Xicun,Cacatua tenuirostris,Slender-billed cockatoo,Brien,Male,2016-11-30,8,false
Chocianów,Butorides striatus,Green heron,Ingrid,Female,2004-03-10,57,true
Ágios Spyrídon,Crotalus cerastes,Sidewinder,Benedikt,Male,2013-05-12,3,false
Chang’an,Psophia viridis,Dark-winged trumpeter,Emmeline,Female,1989-08-27,58,true
Shigu,Bubo virginianus,Great horned owl,Gusti,Female,1987-08-15,88,false
Komoro,Meleagris gallopavo,"Turkey, common",Tucky,Male,2005-09-23,47,true
Noailles,Odocoileus hemionus,Black-tailed deer,Hube,Male,1977-07-31,84,true
Beranci,Funambulus pennati,"Squirrel, palm",Steffi,Female,2009-05-23,53,false
Ibadan,Cervus unicolor,Sambar,Rorie,Agender,2023-07-01,87,false
San Antonio,Cathartes aura,"Vulture, turkey",Roshelle,Female,1998-11-16,2,false
Lopatyn,Coluber constrictor,Racer snake,Timmie,Male,1988-03-31,98,false
Lomboy,Tamiasciurus hudsonicus,Red squirrel,Binky,Male,1998-03-18,80,true
Monte Alto,Varanus komodensis,"Dragon, komodo",Vic,Male,2008-01-30,10,false
Fatou,unavailable,Swallow (unidentified),Con,Male,1982-01-03,42,true
Niuzhuang,Lophoaetus occipitalis,"Eagle, long-crested hawk",Hieronymus,Male,2000-02-01,46,true
Nageswari,Taurotagus oryx,Common eland,Rooney,Male,2008-05-24,7,true
København,Paradoxurus hermaphroditus,Common palm civet,Gretchen,Agender,1999-07-26,83,true
McKinley,Grus canadensis,Sandhill crane,Axe,Male,1984-04-13,76,false
Zhayang,Acanthaster planci,"Starfish, crown of thorns",Desirae,Female,1987-07-07,84,true
Nyangao,Ara chloroptera,Red and blue macaw,Natalie,Female,1974-08-31,66,false
Taihe Chengguanzhen,Epicrates cenchria maurus,Columbian rainbow boa,Olag,Male,1979-07-18,49,false
Ngangpo,Tenrec ecaudatus,"Tenrec, tailless",Waring,Male,1988-08-29,37,false
Potlot,Caiman crocodilus,"Caiman, spectacled",Mathian,Male,2005-02-21,90,false
Gaspra,Petaurus breviceps,Sugar glider,Malinda,Genderqueer,1996-03-14,47,false
Nansan,Myotis lucifugus,"Bat, little brown",Tiertza,Female,1976-12-18,80,true
Lianshan,Vulpes cinereoargenteus,"Fox, grey",Daniela,Female,2005-06-27,62,true
Staropavlovskaya,Tauraco porphyrelophus,"Turaco, violet-crested",Konstance,Female,1974-09-06,57,true
Júlio de Castilhos,Bison bison,American bison,Lawrence,Male,2018-02-23,85,true
Luzern,Macropus agilis,"Kangaroo, jungle",Hendrick,Male,1986-11-04,89,true
Murça,Amphibolurus barbatus,Western bearded dragon,Dorolice,Female,2012-04-10,28,false
Fort Worth,Sciurus vulgaris,"Squirrel, eurasian red",Artemus,Male,2007-10-25,95,true
Skerries,Haliaetus leucogaster,"Eagle, white-bellied sea",Sena,Female,1973-09-15,13,false
Qingduizi,Mycteria leucocephala,Painted stork,Koralle,Female,1980-04-12,5,false
Sangke,Choriotis kori,"Bustard, kori",Darleen,Female,2002-12-06,4,false
Zhong’an,Actophilornis africanus,Lily trotter,Chantalle,Female,1992-11-15,90,true
Pyongyang,Felis caracal,"Lynx, african",Wye,Male,1992-10-27,76,true
Novi Šeher,Snycerus caffer,"Buffalo, african",Maggy,Female,1986-03-18,73,true
Uralets,unavailable,Python (unidentified),Carlyn,Female,1995-08-05,30,true
Rizal,Platalea leucordia,"Spoonbill, white",Yolande,Female,1984-11-12,70,true
Puyuan,Meleagris gallopavo,"Turkey, wild",Walther,Male,1996-07-20,87,false
Kuleqi,Varanus sp.,Goanna lizard,Verena,Female,2021-11-26,74,true
Fuwen,Hystrix indica,"Porcupine, indian",Dedra,Female,2018-03-07,11,true
Barão de Cocais,Ara macao,Scarlet macaw,Sidoney,Female,2009-06-04,71,false
Dagda,Terrapene carolina,"Turtle, eastern box",Marabel,Female,2007-10-15,45,true
Tando Muhammad Khān,Eubalaena australis,"Whale, baleen",Gawain,Male,1990-12-16,27,false
Yuhang,Macropus eugenii,Dama wallaby,Wallie,Male,1984-11-19,90,false
Ust’ye,unavailable,Western palm tanager (unidentified),Harley,Non-binary,2012-12-14,31,true
Santa Lucía,Phalacrocorax niger,"Cormorant, javanese",Moria,Female,1985-03-25,70,true
Tuanlin,Raphicerus campestris,Steenbuck,Thoma,Male,2009-02-24,30,true
Erhe,Anser anser,Greylag goose,Rosabella,Female,1990-03-22,85,true
Mwense,Alligator mississippiensis,Mississippi alligator,Alfi,Female,2009-03-22,44,false
Porsgrunn,Ratufa indica,Malabar squirrel,Orelle,Female,1977-08-27,16,true
Aţ Ţaybah,Diceros bicornis,"Rhinoceros, black",Blake,Male,1999-08-11,32,false
Watrous,Phascogale calura,"Wambenger, red-tailed",Glennis,Agender,2019-08-27,70,false
Kudowa-Zdrój,Choloepus hoffmani,"Sloth, two-toed",Cash,Male,2020-01-23,93,true
Topola,Oreamnos americanus,"Goat, mountain",Brennan,Male,1998-07-29,26,true
Islamey,Cochlearius cochlearius,"Heron, boat-billed",Beck,Male,1990-06-22,54,true
Thị Trấn Trùng Khánh,Litrocranius walleri,Gerenuk,Itch,Male,1979-08-12,19,true
Darkovice,Merops bullockoides,"Bee-eater, white-fronted",Carita,Female,2018-07-23,31,false
Phalaborwa,Ceratotherium simum,"Rhinoceros, square-lipped",Ulberto,Polygender,1973-03-01,70,true
Sanxi,Varanus sp.,"Legaan, ground",Babara,Female,2020-07-26,11,true
Rengasdengklok,Mazama gouazoubira,Brown brocket,Bevan,Male,1976-09-11,90,false
Ortega,Kobus vardonii vardoni,Puku,Glory,Female,1979-07-18,4,false
Waihai,Macropus eugenii,"Wallaby, dama",Dur,Male,2012-07-28,43,true
Luxi,Bubalornis niger,"Weaver, red-billed buffalo",Jerrylee,Female,2022-08-31,53,true
Phayuha Khiri,Phacochoerus aethiopus,Warthog,Tam,Male,2022-01-30,72,true
San Luis,Spermophilus richardsonii,"Squirrel, richardson's ground",Star,Female,1998-03-07,78,true
Gustavsberg,Castor canadensis,American beaver,Chad,Male,2023-10-08,74,true
Gweedore,Recurvirostra avosetta,Pied avocet,Fernande,Female,1974-12-18,84,false
Senlis,Taurotagus oryx,Common eland,Ara,Non-binary,1997-05-14,27,true
Bibiani,unavailable,Lizard (unidentified),Alanson,Male,1971-10-20,30,false
New Pandanon,Varanus komodensis,Komodo dragon,Rozina,Female,1986-01-23,42,false
Killarney,Columba palumbus,"Pigeon, wood",Nathaniel,Male,2007-01-02,66,false
Göteborg,Callorhinus ursinus,Northern fur seal,Alyda,Female,2004-09-09,43,false
San Miguel,Cacatua tenuirostris,"Cockatoo, slender-billed",Kelcy,Female,2000-07-03,42,false
Rundeng,Felis caracal,Caracal,Harri,Female,2011-02-02,3,true
Lamas,Felis chaus,Jungle cat,Simone,Female,2014-07-04,46,true
Boulaide,Zosterops pallidus,"White-eye, cape",Tamarah,Female,2004-10-08,12,false
Kalamáta,Tamiasciurus hudsonicus,Red squirrel,Thelma,Polygender,2021-10-29,40,true
Néa Filadélfeia,Sula nebouxii,"Booby, blue-footed",Olivie,Female,1979-05-11,79,true
Almere Haven,Columba livia,Feral rock pigeon,Broderick,Male,1970-07-09,91,true
Nang Rong,Alopochen aegyptiacus,Egyptian goose,Izak,Male,2005-01-08,9,false
Springfield,Lamprotornis nitens,Cape starling,Gisela,Female,1995-11-24,15,false
Bensonville,Hymenolaimus malacorhynchus,Mountain duck,Sorcha,Female,2018-05-16,90,false
Oleksandrivka,Hippopotamus amphibius,Hippopotamus,Nolie,Female,1981-03-27,20,false
Soacha,Ephipplorhynchus senegalensis,Saddle-billed stork,Alastair,Male,2018-01-09,57,false
Novosin’kovo,Phalaropus lobatus,Northern phalarope,Gerda,Female,2016-09-11,39,true
Promyshlennaya,Corvus albus,Pied crow,Waring,Male,2011-08-04,58,false
Knyaze-Volkonskoye,Heloderma horridum,"Monster, gila",Reid,Male,1970-09-26,65,false
Hongguang,Tockus erythrorhyncus,Red-billed hornbill,Hugh,Genderqueer,2010-04-21,72,false
Mtsensk,Bubalus arnee,"Buffalo, asian water",Jodi,Male,2023-06-07,48,true
Tiwi,Acrantophis madagascariensis,Eastern boa constrictor,Winifred,Female,2004-03-30,73,false
Dondon,Chlamydosaurus kingii,"Dragon, frilled",Bianca,Female,1987-12-30,28,true
Telêmaco Borba,Megaderma spasma,Asian false vampire bat,Bruno,Male,2014-11-11,57,true
Vichy,Phoenicopterus ruber,Greater flamingo,Breena,Female,1992-12-15,51,true
Mimbaan Timur,Epicrates cenchria maurus,Columbian rainbow boa,Sallee,Female,2004-05-24,60,true
Benešov nad Ploučnicí,Sylvicapra grimma,"Duiker, common",Dell,Female,2006-09-21,17,true
Kaliprak,Cervus canadensis,"Elk, Wapiti",Lief,Male,2002-07-07,32,false
Mayang,Lycaon pictus,"Dog, african wild",Carol,Female,1985-12-22,48,false
Nyzhnya Krynka,Procyon cancrivorus,Crab-eating raccoon,Hewett,Male,1990-06-01,68,true
Nigel,Pelecans onocratalus,"Pelican, great white",Harlin,Male,1984-01-24,84,false
Sedatiagung,Oryx gazella,Beisa oryx,Brade,Male,1999-02-07,41,true
Karangan,Bos frontalis,Gaur,Luce,Genderqueer,2012-04-09,100,true
Pacanga,Carduelis pinus,"Siskin, pine",Michele,Female,2015-08-17,39,false
Serpukhov,Dasyurus maculatus,Tiger cat,Jojo,Female,2023-03-21,29,true
Vällingby,Felis concolor,South American puma,Inness,Male,1981-02-26,8,false
Osiek nad Notecią,Alligator mississippiensis,Mississippi alligator,Laural,Female,1975-12-07,29,false
Kara,unavailable,Herring gull,Maurice,Male,2020-02-29,91,true
Blagoveshchensk,Lutra canadensis,"Otter, north american river",Damiano,Male,1998-12-06,26,true
Jinka,Cervus canadensis,"Elk, Wapiti",Jonathon,Bigender,2014-12-24,88,true
Ponikiew,Gorilla gorilla,"Gorilla, western lowland",Luisa,Female,1992-10-07,4,false
Quintã,Francolinus swainsonii,Swainson's francolin,Gabi,Female,2011-07-16,26,false
Siyabuswa,Porphyrio porphyrio,Purple moorhen,Holly,Male,1997-12-16,94,false
Táriba,Mycteria leucocephala,"Stork, painted",Drusi,Female,1986-09-15,49,true
Guifões,Porphyrio porphyrio,"Moorhen, purple",Donalt,Genderfluid,2014-07-03,53,false
Danderyd,Dusicyon thous,"Fox, savanna",Marty,Male,1970-10-15,5,true
Gerelayang,Coluber constrictor foxii,Blue racer,Lucio,Male,1970-09-19,33,true
Al Qurayn,Dicrostonyx groenlandicus,Arctic lemming,Bartolemo,Bigender,2016-03-16,51,true
Zürich,Salvadora hexalepis,"Snake, western patch-nosed",Arin,Male,1978-04-28,73,true
Oras,Vulpes chama,"Fox, silver-backed",Corliss,Female,1992-12-06,96,false
Auki,unavailable,Mudskipper (unidentified),Raul,Male,1995-10-09,59,true
Liantan,Choloepus hoffmani,"Sloth, hoffman's",Carree,Female,2019-01-18,24,true
Hongsipu,Mazama gouazoubira,Brown brocket,Kent,Male,2020-11-22,84,true
Sanjian,Diceros bicornis,Black rhinoceros,Reena,Female,1981-12-31,40,true
Gesik,Ara ararauna,Blue and gold macaw,Leeann,Female,1974-03-02,91,true
Houyu,Gabianus pacificus,"Gull, pacific",Conn,Male,2019-03-02,37,false
Aucallama,Otaria flavescens,Southern sea lion,Waly,Female,1998-03-14,87,false
Simpang,Rana sp.,Frog (unidentified),Vite,Male,2008-05-24,56,false
Whittlesea,Rhea americana,Gray rhea,Ripley,Male,2001-05-14,84,true
Córdoba,Marmota flaviventris,"Marmot, yellow-bellied",Lia,Female,1989-02-04,31,false
Guangchen,Grus rubicundus,Brolga crane,Tobie,Male,1975-12-23,6,true
Hacıqabul,Aegypius tracheliotus,"Vulture, black",Katalin,Female,1981-04-03,33,true
Biaoshan,Balearica pavonina,"Crane, black-crowned",Sharon,Female,1999-01-19,48,true
Sada,Anhinga rufa,African darter,Romeo,Male,2018-12-20,66,false
Jiuli,Callipepla gambelii,"Quail, gambel's",Dolly,Female,1982-12-07,25,true
Gjinkar,Sceloporus magister,Desert spiny lizard,Nicolea,Female,2022-10-21,94,true
Whitegate,Lasiodora parahybana,Salmon pink bird eater tarantula,Mandel,Male,1994-01-11,39,false
Agalteca,Eudyptula minor,Little blue penguin,Locke,Male,2021-10-16,69,true
Paris 13,Equus hemionus,Asiatic wild ass,Orrin,Male,1986-03-11,96,false
Akita Shi,Pycnonotus nigricans,African red-eyed bulbul,Lanita,Female,1992-01-27,60,false
Phra Yuen,Nucifraga columbiana,Clark's nutcracker,Hunfredo,Genderqueer,2012-04-22,88,false
Ban Mai,Elephas maximus bengalensis,"Elephant, asian",Perceval,Genderfluid,1984-10-06,56,false
Pardubice,Haematopus ater,Black curlew,Roseline,Female,1989-08-05,26,true
Lebahseri,Eudyptula minor,"Penguin, fairy",Beniamino,Male,2012-11-12,26,true
Yeri,Tiliqua scincoides,"Skink, blue-tongued",Miranda,Female,1973-11-06,41,true
Sabaneta,Corvus brachyrhynchos,House crow,Chan,Male,1985-09-11,22,true
Dongbang,Leptoptilus dubius,Greater adjutant stork,Arni,Male,2015-08-12,97,true
Masipi West,Sus scrofa,"Boar, wild",Roxana,Female,1988-06-22,57,false
Doljo,Varanus sp.,Ground legaan,Zacherie,Male,2001-10-27,43,false
Červená Voda,Chlidonias leucopterus,White-winged black tern,Renata,Female,2016-10-08,91,false
Van Nuys,Ursus arctos,"Bear, grizzly",Zollie,Male,2017-04-04,56,true
Penghua,Eolophus roseicapillus,Roseate cockatoo,Marty,Male,1994-04-12,89,true
Bajingzi,Diomedea irrorata,Galapagos albatross,Christyna,Female,1989-11-21,62,true
Przystajń,Ateles paniscus,Black spider monkey,Michaeline,Female,2010-06-16,75,false
Plomárion,Irania gutteralis,White-throated robin,Coraline,Female,2016-09-14,94,false
Killumney,Pituophis melanaleucus,Pine snake (unidentified),Barbabas,Male,1992-05-22,95,true
Pandanrejokrajan,Tragelaphus angasi,Nyala,Jen,Female,2023-09-21,6,true
Sebedo,Corvus albus,"Crow, pied",Horatio,Male,2015-02-05,64,false
Marinići,Chauna torquata,Southern screamer,Tyrus,Male,1977-03-11,3,false
Gongnong,Ictonyx striatus,"Polecat, african",Arther,Male,1977-07-14,34,false
Junliangcheng,Stercorarius longicausus,Long-tailed skua,Paulo,Male,2017-02-01,41,true
Wang Noi,Felis caracal,Caracal,Willetta,Female,1980-08-29,81,true
Dumbéa,Toxostoma curvirostre,Curve-billed thrasher,Salvador,Male,2014-04-23,21,true
Kangmei,Ictonyx striatus,"Polecat, african",Fairlie,Male,1987-12-22,45,false
Shiren,Physignathus cocincinus,Asian water dragon,Bree,Female,1985-06-17,86,true
Paraiso,Ploceus rubiginosus,"Weaver, chestnut",Hatty,Genderqueer,1984-02-27,34,true
Bonebone,Genetta genetta,"Genet, small-spotted",Kylila,Female,1986-08-28,62,false
Dongfeng,Trichosurus vulpecula,"Possum, golden brush-tailed",Eyde,Female,1985-10-13,88,true
Qiying,Manouria emys,Burmese black mountain tortoise,Joelle,Female,2007-12-26,11,true
Vihti,Francolinus leucoscepus,Yellow-necked spurfowl,Gabby,Male,1993-01-22,9,false
Água Preta,Zosterops pallidus,"White-eye, pale",Julius,Male,2011-05-20,79,false
Medvedovskaya,Semnopithecus entellus,Hanuman langur,Ashly,Female,2021-09-25,53,true
Nancha,Nectarinia chalybea,"Sunbird, lesser double-collared",Freda,Female,2006-09-14,12,false
Mitry-Mory,Sylvicapra grimma,"Duiker, common",Clemente,Male,1998-05-02,11,true
Gorodets,Aonyx capensis,African clawless otter,Marget,Female,2016-03-22,45,false
Ramiriquí,Spilogale gracilis,"Skunk, western spotted",Lura,Female,1972-07-14,49,false
Huaccana,Tadorna tadorna,"Shelduck, common",Ozzie,Male,1990-09-22,23,true
Gjoçaj,Cacatua tenuirostris,"Cockatoo, long-billed",Neala,Agender,2000-08-19,53,false
San Pedro Pinula,Libellula quadrimaculata,Four-spotted skimmer,Lyle,Male,1990-06-23,26,false
Ojos de Agua,Tamiasciurus hudsonicus,"Squirrel, pine",Felice,Female,1974-03-14,82,false
Sambava,Uraeginthus granatina,Purple grenadier,Jeannine,Female,2008-01-11,51,false
Arcangel,Tursiops truncatus,Bottle-nose dolphin,Louisa,Female,2022-08-02,33,false
Neiba,Pteropus rufus,"Bat, madagascar fruit",Hansiain,Male,1982-04-07,38,true
Gouping,Mirounga angustirostris,Northern elephant seal,Rochette,Agender,2001-09-26,76,true
Swellendam,Vulpes chama,Silver-backed fox,Lyon,Male,2004-01-07,19,false
Paloh,Balearica pavonina,Black-crowned crane,Rice,Male,2017-08-19,38,false
Daoxian,Macropus eugenii,"Wallaby, tammar",Hali,Bigender,1985-08-24,51,true
Valada,Podargus strigoides,"Frogmouth, tawny",Tallie,Male,1974-03-11,66,false
Xiaqiao,Paraxerus cepapi,Smith's bush squirrel,Dalila,Female,1978-08-23,40,false
Qinhong,Lophoaetus occipitalis,"Eagle, long-crested hawk",Marti,Female,1996-12-25,39,false
Semanding Barat,Dicrostonyx groenlandicus,"Lemming, arctic",Slade,Male,2007-12-07,30,false
Shishan,Centrocercus urophasianus,Sage grouse,Berrie,Female,1989-08-30,8,true
Nové Město pod Smrkem,Irania gutteralis,White-throated robin,Terry,Female,2015-11-17,82,true
Ferme-Neuve,Bucorvus leadbeateri,"Hornbill, southern ground",Bettine,Female,1986-10-15,73,false
Kallithéa,Dasyurus viverrinus,"Cat, native",Gwenette,Female,1978-12-01,41,false
Xiamayu,Colobus guerza,"Colobus, magistrate black",Mady,Female,2014-07-02,23,false
Bonga,Gopherus agassizii,"Tortoise, desert",Sherline,Female,2002-12-18,1,true
Panzhou,Gyps fulvus,Griffon vulture,Correy,Female,1978-11-23,54,true
Selaparang Timur,Struthio camelus,Ostrich,Clay,Male,1994-07-30,43,true
Shimo-furano,Tringa glareola,"Sandpiper, spotted wood",Kaylil,Female,2004-02-20,15,false
Puente Alto,Notechis semmiannulatus,"Snake, tiger",Nani,Female,2022-02-07,27,false
Pagersari,Macropus rufus,Red kangaroo,Elizabet,Female,2022-05-09,63,true
Zbąszynek,Helogale undulata,Eastern dwarf mongoose,Lorilee,Female,2012-07-19,70,false
Pau,Gazella granti,"Gazelle, grant's",Roger,Male,1972-09-02,28,true
Şabrātah,Dasypus septemcincus,"Armadillo, seven-banded",Cecelia,Female,1994-06-18,33,false
Tsuruga,Hymenolaimus malacorhynchus,Mountain duck,Geordie,Male,1987-11-04,95,true
Noailles,Alopex lagopus,Blue fox,Patricia,Female,1985-05-27,60,false
Vale da Pedra,Pteropus rufus,"Bat, madagascar fruit",Mitchell,Male,1988-03-28,38,true
Latowicz,Merops nubicus,Carmine bee-eater,Nikolai,Male,2001-03-03,43,true
Mostovskoy,Spizaetus coronatus,Crowned hawk-eagle,Nert,Female,1987-05-11,54,true
Ishkhoy-Yurt,Ictalurus furcatus,Blue catfish,Terese,Female,1994-03-01,63,false
Thạnh Mỹ,Geochelone elegans,"Tortoise, indian star",Agatha,Genderfluid,2003-05-08,30,false
Ankazobe,Acridotheres tristis,"Mynah, indian",Ichabod,Male,2000-08-16,34,false
Paris 11,Bradypus tridactylus,"Sloth, pale-throated three-toed",Stormy,Female,1985-12-31,93,true
Polešovice,Nasua narica,White-nosed coatimundi,Leanna,Female,2005-09-07,29,true
Turpay,Dasyurus maculatus,Tiger cat,Adamo,Agender,2012-06-05,26,true
São João Nepomuceno,Heloderma horridum,Gila monster,Phillipp,Male,2012-09-25,49,true
Tamuning-Tumon-Harmon Village,Canis latrans,Coyote,Barnabas,Male,1987-07-03,4,true
Donim,Amblyrhynchus cristatus,Marine iguana,Winona,Female,2018-07-02,34,false
Ārt Khwājah,Carduelis uropygialis,Yellow-rumped siskin,Alexandre,Male,2022-06-29,94,true
Esik,Anser anser,Greylag goose,Mattias,Male,1995-09-16,62,true
Snizhne,Ammospermophilus nelsoni,Antelope ground squirrel,Jesse,Male,2018-07-07,71,true
Ngasinan,Pterocles gutturalis,Yellow-throated sandgrouse,Uriel,Male,1986-08-20,55,true
Santiago del Torno,Theropithecus gelada,Bleeding heart monkey,Esteban,Male,2009-08-20,17,false
Al Manāqil,Ctenophorus ornatus,"Dragon, ornate rock",Bertine,Female,1981-12-24,65,true
El Paso,Nesomimus trifasciatus,Galapagos mockingbird,Brigitte,Female,1991-07-12,42,true
Salto de Pirapora,Pterocles gutturalis,"Sandgrouse, yellow-throated",Alvera,Female,1989-02-18,65,true
Thị Trấn Tà Lùng,Papio cynocephalus,Savanna baboon,Milicent,Female,1994-11-22,17,false
Malicboy,Acanthaster planci,Crown of thorns starfish,Marchall,Male,1998-05-03,95,false
Kumane,Sylvicapra grimma,Common duiker,Althea,Female,2004-08-29,29,true
Dalkey,Balearica pavonina,Black-crowned crane,Kenna,Female,2016-07-02,52,false
Cibaregbeg,Trichoglossus haematodus moluccanus,"Lory, rainbow",Emlynn,Female,1997-06-27,97,true
Chachagüí,Pteropus rufus,"Bat, madagascar fruit",Sheila,Female,1999-01-24,39,true
Campos Novos,Galago crassicaudataus,"Bushbaby, large-eared",Annamaria,Female,2001-08-05,25,false
Quixadá,Anthropoides paradisea,"Crane, stanley",Brodie,Male,1995-11-04,56,false
Qingquan,unavailable,Turtle (unidentified),Alleyn,Male,1989-12-29,98,true
Saint Louis,Junonia genoveua,Genoveva,Codee,Female,2001-08-04,30,false
Conima,Tachybaptus ruficollis,"Grebe, little",Karia,Female,2012-08-21,20,false
Ke’erlun,Lutra canadensis,"Otter, north american river",Weider,Male,1974-01-11,8,true
Enonkoski,Lepus townsendii,White-tailed jackrabbit,Merla,Female,1982-06-24,55,true
Farīmān,Laniarius ferrugineus,"Shrike, common boubou",Son,Male,2004-08-11,8,false
Ubon Ratchathani,Ramphastos tucanus,White-throated toucan,Lillis,Female,2000-04-19,12,false
Tombu,Cabassous sp.,Eleven-banded armadillo (unidentified),Izzy,Male,2004-05-21,64,true
Donomulyo,Mycteria ibis,Yellow-billed stork,Zaria,Female,2021-06-05,11,false
Khalkhāl,Colobus guerza,"Colobus, magistrate black",Erv,Male,2020-03-27,6,false
Stuttgart,Phalaropus lobatus,"Phalarope, northern",Antonio,Male,2008-07-02,60,true
Novi Kneževac,Dasyurus viverrinus,Eastern quoll,Berni,Female,1971-10-16,94,true
Dungang,Phoeniconaias minor,Lesser flamingo,Othella,Female,1981-12-22,75,true
Vista Hermosa,Tadorna tadorna,European shelduck,Tabor,Male,1984-07-23,21,true
Néo Psychikó,Oryx gazella callotis,"Oryx, fringe-eared",Valerye,Female,1996-02-19,53,true
Shaguotun,Butorides striatus,Green-backed heron,Clarke,Male,1989-07-04,93,false
Dongla,Macropus fuliginosus,"Kangaroo, black-faced",Elianora,Bigender,2013-04-04,57,false
Sobral,Bison bison,"Bison, american",Immanuel,Genderqueer,2006-07-31,95,false
New Sibonga,Cercatetus concinnus,"Possum, western pygmy",Blakeley,Female,2012-12-01,44,true
Lecong,Ciconia episcopus,Woolly-necked stork,Katya,Polygender,2004-05-29,98,true
Kuala Lumpur,Merops nubicus,Nubian bee-eater,Haleigh,Male,2008-01-21,61,false
Minador do Negrão,Ursus maritimus,Polar bear,Brear,Female,1974-12-22,20,false
Maisons-Laffitte,Macropus rufus,"Kangaroo, red",Angeline,Female,1988-06-05,51,true
Chengbei,Psophia viridis,Green-winged trumpeter,Xenos,Male,1998-12-14,81,true
Yanmenguan,Ephippiorhynchus mycteria,Black-necked stork,Rowen,Male,1994-12-19,31,true
Kembang,Alouatta seniculus,"Monkey, red howler",Vachel,Male,2008-05-24,7,true
Dubno,Drymarchon corias couperi,Eastern indigo snake,Elia,Male,1982-06-27,95,false
Jambuir Timur,Plocepasser mahali,"Weaver, white-browed sparrow",Margarete,Female,2007-06-25,80,false
Kebon,Felis yagouaroundi,Jaguarundi,Urban,Non-binary,1995-04-12,27,false
Lamu,Diceros bicornis,Black rhinoceros,Bella,Female,1971-10-25,10,false
Chenjiaba,Aonyx cinerea,Small-clawed otter,Sammie,Male,1972-10-22,42,true
Taiping,Microcebus murinus,Grey mouse lemur,Brandie,Female,1996-02-29,2,false
Alagoinhas,Phalacrocorax niger,Little cormorant,Kayle,Female,1977-10-21,27,true
Kovači,Corvus albicollis,Cape raven,Lurline,Female,2016-06-17,43,true
Kasaoka,Meleagris gallopavo,Wild turkey,Edward,Genderfluid,1988-01-09,43,false
Gunungsari,Macropus eugenii,"Wallaby, dama",Foss,Male,2001-01-18,34,false
Farīdpur,Crotalus cerastes,"Rattlesnake, horned",Cleopatra,Polygender,1989-01-29,88,false
Tortosa,Grus antigone,"Crane, sarus",Dav,Male,2004-08-16,87,true
Jinzhuang,Uraeginthus granatina,Purple grenadier,Gradey,Male,2016-01-19,31,false
Pulau Pinang,Meleagris gallopavo,Wild turkey,Heall,Male,1978-01-05,64,true
Solnechnoye,Sylvilagus floridanus,"Rabbit, eastern cottontail",Adrian,Male,2009-12-28,80,true
